Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,07/04/2018,"POS DEBIT                SLING.COM                ENGLEWOOD     CO",-21.64,MISC_DEBIT, ,,
DEBIT,07/04/2018,"POS DEBIT                Netflix.com              NETFLIX.COM   CA                                                                                                                                                                                                                                                              0 00      0100",-15.14,MISC_DEBIT, ,,
DEBIT,07/03/2018,"Seville          WEB PMTS   JYG651          WEB ID: 9084434801",-1104.55,ACH_DEBIT,231.60,,
DEBIT,07/03/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           07/02",-9.18,DEBIT_CARD,1336.15,,
DEBIT,07/02/2018,"NON-CHASE ATM FEE-WITH",-2.50,FEE_TRANSACTION,1345.33,,
DEBIT,07/02/2018,"Upwork -187459904Memb 165-08534100 CA        07/01",-10.00,DEBIT_CARD,1347.83,,
DEBIT,07/02/2018,"Amazon Digital Svcs amzn.com/bill WA         07/02",-9.73,DEBIT_CARD,1357.83,,
DEBIT,07/02/2018,"7-ELEVEN SAN ANTONIO TX                      07/01",-24.52,DEBIT_CARD,1367.56,,
DEBIT,07/02/2018,"FREDDYS FROZEN CUSTARD SAN ANTONIO TX        07/01",-17.70,DEBIT_CARD,1392.08,,
DEBIT,07/02/2018,"NON-CHASE ATM WITHDRAW               254326  06/30111 NW LO",-48.00,ATM,1409.78,,
DEBIT,07/02/2018,"SACOLO LTD - TX SAN ANTONIO TX               07/01",-33.75,DEBIT_CARD,1457.78,,
DEBIT,07/02/2018,"HEB  #102 SAN ANTONIO TX                     06/30",-39.46,DEBIT_CARD,1491.53,,
DEBIT,07/02/2018,"DIAMOND SHINE SAN ANTONIO TX                 06/30",-6.00,DEBIT_CARD,1530.99,,
DEBIT,07/02/2018,"SPEEDY CASH 888-3331360 KS                   06/30",-72.00,DEBIT_CARD,1536.99,,
DEBIT,07/02/2018,"SQ *ANTHONY GONZALE 877-417-4551 TX          06/29",-8.00,DEBIT_CARD,1608.99,,
DEBIT,07/02/2018,"SQ *ANTHONY GONZALE 877-417-4551 TX          06/29",-31.00,DEBIT_CARD,1616.99,,
DEBIT,07/02/2018,"MCDONALD'S F2881 SAN ANTONIO TX              06/28",-6.16,DEBIT_CARD,1647.99,,
DEBIT,06/29/2018,"QuickPay with Zelle payment to Mama 7271414032",-750.00,CHASE_TO_PARTNERFI,1654.15,,
DEBIT,06/29/2018,"TRANSFER TO SAV XXXXX1797 06/29",-50.00,ACCT_XFER,2404.15,,
DEBIT,06/29/2018,"OSAKA JAPANESE STEAK A 210-8220300 TX        06/27",-20.27,DEBIT_CARD,2454.15,,
CREDIT,06/29/2018,"Online Transfer from SAV ...1797 transaction#: 7273941588",50.00,ACCT_XFER,2474.42,,
CREDIT,06/29/2018,"GIGAWARP TECHNOL PAYROLL                    PPD ID: 1812457168",2356.74,ACH_CREDIT,2424.42,,
DEBIT,06/28/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        06/27",-5.68,DEBIT_CARD,67.68,,
DEBIT,06/28/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           06/27",-9.58,DEBIT_CARD,73.36,,
DEBIT,06/28/2018,"CORNER STORE 0003 SAN ANTONIO TX             06/26",-6.19,DEBIT_CARD,82.94,,
DEBIT,06/27/2018,"Amazon.com AMZN.COM/BILL WA                  06/26",-48.56,DEBIT_CARD,89.13,,
DEBIT,06/27/2018,"SORRENTO RISTORANTE SAN ANTONIO TX           06/25",-17.88,DEBIT_CARD,137.69,,
DEBIT,06/26/2018,"SQ *ANTHONY GONZALE 877-417-4551 TX          06/25",-11.00,DEBIT_CARD,155.57,,
DEBIT,06/26/2018,"AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        06/25",-10.01,DEBIT_CARD,166.57,,
DEBIT,06/25/2018,"DNH*GODADDY.COM 480-5058855 AZ               06/23",-14.91,DEBIT_CARD,176.58,,
DEBIT,06/25/2018,"7-ELEVEN SAN ANTONIO TX                      06/24",-3.76,DEBIT_CARD,191.49,,
DEBIT,06/25/2018,"HEB  #102 SAN ANTONIO TX                     06/23",-6.57,DEBIT_CARD,195.25,,
DEBIT,06/25/2018,"MCDONALD'S F10675 SAN ANTONIO TX             06/23",-3.25,DEBIT_CARD,201.82,,
DEBIT,06/25/2018,"MCDONALD'S F10675 SAN ANTONIO TX             06/23",-0.65,DEBIT_CARD,205.07,,
DEBIT,06/25/2018,"DIAMOND SHINE SAN ANTONIO TX                 06/23",-6.00,DEBIT_CARD,205.72,,
DEBIT,06/25/2018,"WALGREENS STORE 6635 B SAN ANTONIO TX754425  06/23",-4.37,DEBIT_CARD,211.72,,
DEBIT,06/25/2018,"CENTRAL MARKET #191 SAN ANTONIO TX           06/22",-13.04,DEBIT_CARD,216.09,,
DEBIT,06/25/2018,"CKE*BIRD BAKERY      5 SAN ANTONIO TX        06/22",-7.76,DEBIT_CARD,229.13,,
DEBIT,06/22/2018,"DNH*GODADDY.COM 480-5058855 AZ               06/21",-10.65,DEBIT_CARD,236.89,,
DEBIT,06/21/2018,"PlaystationNetwork 800-3457669 CA            06/21",-10.80,DEBIT_CARD,247.54,,
DEBIT,06/21/2018,"MBI-PROBILLER.COM/RK 877-446-0668            06/19",-17.95,DEBIT_CARD,258.34,,
DEBIT,06/20/2018,"SQ *MERIT COFFEE - A Alamo Heights TX        06/20",-7.93,DEBIT_CARD,276.29,,
DEBIT,06/20/2018,"HEB  #102 SAN ANTONIO TX                     06/19",-22.38,DEBIT_CARD,284.22,,
DEBIT,06/18/2018,"MBI*PROBILLER.COM/BZ 8552329585 CA           06/17",-9.99,DEBIT_CARD,306.60,,
DEBIT,06/18/2018,"PLANET FIT       CLUB FEES                  PPD ID: 1710602737",-10.83,ACH_DEBIT,316.59,,
DEBIT,06/18/2018,"AmazonPrime Membersh amzn.com/prme WA        06/17",-14.06,DEBIT_CARD,327.42,,
DEBIT,06/18/2018,"CarMax Auto      Finance    CARMAX031586428 WEB ID: E541821055",-376.35,ACH_DEBIT,341.48,,
DEBIT,06/18/2018,"BOX*BOX.NET CONSMR SRV 877-7294269 CA        06/17",-10.66,DEBIT_CARD,717.83,,
DEBIT,06/18/2018,"SACOLO LTD - TX SAN ANTONIO TX               06/17",-122.25,DEBIT_CARD,728.49,,
DEBIT,06/18/2018,"SACOLO LTD - TX SAN ANTONIO TX               06/17",-375.00,DEBIT_CARD,850.74,,
